key	wordnet_id	synonyms
n00004475	eng-30-00004475-n	wezen, organismen, organisme
n00005787	eng-30-00005787-n	benthos, zeebodem
n00006484	eng-30-00006484-n	cel
n00007846	eng-30-00007846-n	individu, deze of gene, iemand, figuur, man, mens, persoon
n00015388	eng-30-00015388-n	wezen, schepsel, creatuur, beest, dier, gedierte
n00017222	eng-30-00017222-n	gewas, vegetatie, plantenleven
n00021939	eng-30-00021939-n	mensenwerk, artefact
n00288000	eng-30-00288000-n	dressuur, dressuursport
n00288384	eng-30-00288384-n	
n00324978	eng-30-00324978-n	
n00326094	eng-30-00326094-n	rotsklimmen
n00433458	eng-30-00433458-n	
n00433661	eng-30-00433661-n	
n00433802	eng-30-00433802-n	gym, gymnastiek
n00439826	eng-30-00439826-n	
n00440039	eng-30-00440039-n	
n00440218	eng-30-00440218-n	
n00440382	eng-30-00440382-n	
n00440509	eng-30-00440509-n	
n00440747	eng-30-00440747-n	skieën
n00440941	eng-30-00440941-n	langlaufen
n00441073	eng-30-00441073-n	
n00441824	eng-30-00441824-n	
n00442115	eng-30-00442115-n	zwemmen
n00442437	eng-30-00442437-n	
n00442847	eng-30-00442847-n	
n00442981	eng-30-00442981-n	onderwaterzwemmen, duiken, duik, duiksport, duiksprong, onderwatersport
n00443231	eng-30-00443231-n	het zwemmen
n00444651	eng-30-00444651-n	onderwatersport
n00444846	eng-30-00444846-n	duiksport
n00444937	eng-30-00444937-n	
n00445055	eng-30-00445055-n	surf-riding, surfriding
n00445226	eng-30-00445226-n	waterskiën
n00445351	eng-30-00445351-n	haal, roeisport
n00445802	eng-30-00445802-n	
n00446311	eng-30-00446311-n	
n00446411	eng-30-00446411-n	
n00446493	eng-30-00446493-n	
n00446632	eng-30-00446632-n	
n00446804	eng-30-00446804-n	
n00446980	eng-30-00446980-n	boogschieten, schuttersgilde
n00447073	eng-30-00447073-n	
n00447221	eng-30-00447221-n	
n00447463	eng-30-00447463-n	
n00447540	eng-30-00447540-n	worstelen, takelage
n00447957	eng-30-00447957-n	
n00448126	eng-30-00448126-n	
n00448232	eng-30-00448232-n	sumoworstelen, sumo
n00448466	eng-30-00448466-n	
n00448640	eng-30-00448640-n	
n00448958	eng-30-00448958-n	
n00449054	eng-30-00449054-n	
n00449168	eng-30-00449168-n	
n00449295	eng-30-00449295-n	koers, rensport
n00449517	eng-30-00449517-n	
n00449695	eng-30-00449695-n	
n00449892	eng-30-00449892-n	
n00449977	eng-30-00449977-n	
n00450070	eng-30-00450070-n	
n00450335	eng-30-00450335-n	rijkunst, paardrijden, paardensport, paardesport, ruitersport
n00450700	eng-30-00450700-n	
n00450866	eng-30-00450866-n	
n00450998	eng-30-00450998-n	concours hippique, springconcours
n00451186	eng-30-00451186-n	
n00451370	eng-30-00451370-n	wielrennen
n00451563	eng-30-00451563-n	wielersport, wielrennerij
n00451635	eng-30-00451635-n	motorsport
n00452034	eng-30-00452034-n	stierenvechten
n00452152	eng-30-00452152-n	
n00452293	eng-30-00452293-n	jacht, jachtpartij, weidspel, weispel
n00452864	eng-30-00452864-n	hazejacht, hazenjacht
n00453126	eng-30-00453126-n	hazejacht, hazenjacht
n00453313	eng-30-00453313-n	
n00453396	eng-30-00453396-n	
n00453478	eng-30-00453478-n	
n00453935	eng-30-00453935-n	het vissen
n00454237	eng-30-00454237-n	vissen, hengelsport
n00454395	eng-30-00454395-n	
n00454493	eng-30-00454493-n	
n00454624	eng-30-00454624-n	
n00454983	eng-30-00454983-n	
n00455076	eng-30-00455076-n	
n00455173	eng-30-00455173-n	
n00456465	eng-30-00456465-n	
n00463246	eng-30-00463246-n	
n00463543	eng-30-00463543-n	ijshockey
n00464277	eng-30-00464277-n	
n00464478	eng-30-00464478-n	polo, waterpolo
n00464651	eng-30-00464651-n	veldspel
n00464894	eng-30-00464894-n	golf
n00466273	eng-30-00466273-n	
n00466377	eng-30-00466377-n	
n00466524	eng-30-00466524-n	
n00466630	eng-30-00466630-n	
n00466712	eng-30-00466712-n	
n00466880	eng-30-00466880-n	croquet
n00467320	eng-30-00467320-n	hoefbeslag, paardebeslag, paardenbeslag
n00467536	eng-30-00467536-n	sjoelbak
n00467719	eng-30-00467719-n	veldsport
n00467995	eng-30-00467995-n	hockey
n00468480	eng-30-00468480-n	voetballen, voetbal
n00469651	eng-30-00469651-n	Amerikaanse voetbal
n00470554	eng-30-00470554-n	
n00470830	eng-30-00470830-n	
n00470966	eng-30-00470966-n	rugby voetbalspel, rugby
n00471437	eng-30-00471437-n	balspel
n00474568	eng-30-00474568-n	
n00474657	eng-30-00474657-n	
n00474881	eng-30-00474881-n	
n00475014	eng-30-00475014-n	
n00475273	eng-30-00475273-n	
n00475403	eng-30-00475403-n	
n00475535	eng-30-00475535-n	
n00475661	eng-30-00475661-n	
n00475787	eng-30-00475787-n	
n00476235	eng-30-00476235-n	
n00476389	eng-30-00476389-n	cricket
n00477392	eng-30-00477392-n	lacrosse
n00477639	eng-30-00477639-n	polo
n00478262	eng-30-00478262-n	voetbal
n00479076	eng-30-00479076-n	
n00479440	eng-30-00479440-n	handbal, handsbal, hands
n00479616	eng-30-00479616-n	
n00479887	eng-30-00479887-n	squash
n00480211	eng-30-00480211-n	volleybal
n00480366	eng-30-00480366-n	
n00480508	eng-30-00480508-n	
n00480885	eng-30-00480885-n	
n00480993	eng-30-00480993-n	basketbal
n00481803	eng-30-00481803-n	
n00482122	eng-30-00482122-n	netbal, netservice
n00482298	eng-30-00482298-n	kraaiennest, tennis
n00483205	eng-30-00483205-n	
n00483313	eng-30-00483313-n	enkelspel, single
n00483409	eng-30-00483409-n	
n00483508	eng-30-00483508-n	
n00483605	eng-30-00483605-n	
n00483705	eng-30-00483705-n	
n00483848	eng-30-00483848-n	
n00825773	eng-30-00825773-n	judo
n00887544	eng-30-00887544-n	ploegsport
n01314388	eng-30-01314388-n	pest
n01314663	eng-30-01314663-n	
n01314781	eng-30-01314781-n	
n01315213	eng-30-01315213-n	
n01315581	eng-30-01315581-n	
n01315805	eng-30-01315805-n	
n01316422	eng-30-01316422-n	jutter, straatveger, aasdier, aaseter
n01316579	eng-30-01316579-n	
n01316949	eng-30-01316949-n	
n01317541	eng-30-01317541-n	huisdier
n01317813	eng-30-01317813-n	
n01317916	eng-30-01317916-n	
n01318279	eng-30-01318279-n	kuiken
n01318381	eng-30-01318381-n	
n01318894	eng-30-01318894-n	huisdier
n01319001	eng-30-01319001-n	blijver, aanhouder, doorbijter, doordouwer, doorzetter, knokker, vechter, volhouder
n01319187	eng-30-01319187-n	
n01319467	eng-30-01319467-n	zeedier
n01321123	eng-30-01321123-n	roddeltante
n01321230	eng-30-01321230-n	man, mannetje, mannetjesdier
n01321456	eng-30-01321456-n	
n01321579	eng-30-01321579-n	kind, nakomeling, jong, jonkie, kleintje
n01321770	eng-30-01321770-n	weeskind
n01321854	eng-30-01321854-n	
n01322221	eng-30-01322221-n	jong, jonkie, kleintje
n01322343	eng-30-01322343-n	hondejong, hondenjong, pup, puppy
n01322508	eng-30-01322508-n	welp
n01322604	eng-30-01322604-n	hondejong, hondenjong, pup, puppy
n01322685	eng-30-01322685-n	welp
n01322898	eng-30-01322898-n	leeuwenwelp
n01322983	eng-30-01322983-n	berenjong
n01323068	eng-30-01323068-n	
n01323155	eng-30-01323155-n	
n01323261	eng-30-01323261-n	
n01323355	eng-30-01323355-n	
n01323493	eng-30-01323493-n	
n01323599	eng-30-01323599-n	pur_sang, raspaard, stamboekdier, volbloed
n01323781	eng-30-01323781-n	
n01324610	eng-30-01324610-n	fructivoor, fytofaag, herbivoor, planteneter
n01324799	eng-30-01324799-n	insectivoor
n01326291	eng-30-01326291-n	micro-organisme, microbe
n01330126	eng-30-01330126-n	
n01338685	eng-30-01338685-n	
n01339336	eng-30-01339336-n	
n01339801	eng-30-01339801-n	
n01340014	eng-30-01340014-n	
n01340935	eng-30-01340935-n	
n01342269	eng-30-01342269-n	
n01350226	eng-30-01350226-n	
n01350701	eng-30-01350701-n	
n01351315	eng-30-01351315-n	schroefbacterie
n01367772	eng-30-01367772-n	
n01375204	eng-30-01375204-n	
n01378545	eng-30-01378545-n	
n01381044	eng-30-01381044-n	
n01382033	eng-30-01382033-n	spirocheet
n01384164	eng-30-01384164-n	
n01386182	eng-30-01386182-n	disgenoot, kostganger, tafelgenoot
n01386354	eng-30-01386354-n	
n01389507	eng-30-01389507-n	protozoa, protozoön
n01390123	eng-30-01390123-n	
n01395254	eng-30-01395254-n	trilhaardiertje
n01397114	eng-30-01397114-n	zeewier, algen, wieren, alg, alge, wier
n01402600	eng-30-01402600-n	
n01407798	eng-30-01407798-n	
n01411450	eng-30-01411450-n	
n01415626	eng-30-01415626-n	eukaryoten
n01421807	eng-30-01421807-n	sporozoön
n01438581	eng-30-01438581-n	
n01439121	eng-30-01439121-n	
n01439514	eng-30-01439514-n	karper
n01440764	eng-30-01440764-n	zeelt
n01441117	eng-30-01441117-n	serpeling
n01441425	eng-30-01441425-n	
n01442710	eng-30-01442710-n	rietvoorn, ruis, ruisvoorn
n01442972	eng-30-01442972-n	ondermaatse vis, elrits, voorn, witvis
n01443243	eng-30-01443243-n	riviergronde, grondel, riviergrondel
n01443537	eng-30-01443537-n	goudvis
n01443831	eng-30-01443831-n	kroeskarper, giebel
n01444339	eng-30-01444339-n	sidderaal
n01444783	eng-30-01444783-n	
n01446760	eng-30-01446760-n	
n01448291	eng-30-01448291-n	
n01448594	eng-30-01448594-n	
n01448951	eng-30-01448951-n	
n01450661	eng-30-01450661-n	
n01453475	eng-30-01453475-n	
n01454545	eng-30-01454545-n	
n01454856	eng-30-01454856-n	
n01455778	eng-30-01455778-n	
n01457407	eng-30-01457407-n	
n01457852	eng-30-01457852-n	
n01458842	eng-30-01458842-n	foetus, embryo, vrucht
n01459791	eng-30-01459791-n	foetus
n01464844	eng-30-01464844-n	
n01468238	eng-30-01468238-n	omhuld
n01468712	eng-30-01468712-n	
n01469723	eng-30-01469723-n	Salpa
n01471682	eng-30-01471682-n	werveldier, gewervelde dieren, vertebraat
n01472303	eng-30-01472303-n	
n01473806	eng-30-01473806-n	
n01474283	eng-30-01474283-n	
n01480880	eng-30-01480880-n	
n01482071	eng-30-01482071-n	
n01482330	eng-30-01482330-n	haai
n01483021	eng-30-01483021-n	
n01483830	eng-30-01483830-n	haringhaai
n01484097	eng-30-01484097-n	
n01484850	eng-30-01484850-n	grote witte haai, antropofaag, kannibaal, menseneter
n01485479	eng-30-01485479-n	
n01486010	eng-30-01486010-n	
