key,wordnet_id,lemma
n00288384,eng-30-00288384-n,piaffe
n00324978,eng-30-00324978-n,funambulism
n00324978,eng-30-00324978-n,tightrope walking
n00433458,eng-30-00433458-n,contact sport
n00433661,eng-30-00433661-n,outdoor sport
n00433661,eng-30-00433661-n,field sport
n00439826,eng-30-00439826-n,track and field
n00440039,eng-30-00440039-n,track
n00440039,eng-30-00440039-n,running
n00440218,eng-30-00440218-n,jumping
n00440382,eng-30-00440382-n,broad jump
n00440382,eng-30-00440382-n,long jump
n00440509,eng-30-00440509-n,high jump
n00441073,eng-30-00441073-n,ski jumping
n00441824,eng-30-00441824-n,water sport
n00441824,eng-30-00441824-n,aquatics
n00442437,eng-30-00442437-n,bathe
n00442847,eng-30-00442847-n,dip
n00442847,eng-30-00442847-n,plunge
n00444937,eng-30-00444937-n,snorkeling
n00444937,eng-30-00444937-n,snorkel diving
n00445802,eng-30-00445802-n,boxing
n00445802,eng-30-00445802-n,pugilism
n00445802,eng-30-00445802-n,fisticuffs
n00446311,eng-30-00446311-n,professional boxing
n00446411,eng-30-00446411-n,in-fighting
n00446493,eng-30-00446493-n,fight
n00446632,eng-30-00446632-n,rope-a-dope
n00446804,eng-30-00446804-n,spar
n00446804,eng-30-00446804-n,sparring
n00447073,eng-30-00447073-n,sledding
n00447221,eng-30-00447221-n,tobogganing
n00447463,eng-30-00447463-n,bobsledding
n00447957,eng-30-00447957-n,Greco-Roman wrestling
n00448126,eng-30-00448126-n,professional wrestling
n00448466,eng-30-00448466-n,skating
n00448640,eng-30-00448640-n,ice skating
n00448958,eng-30-00448958-n,roller skating
n00449054,eng-30-00449054-n,skateboarding
n00449168,eng-30-00449168-n,speed skating
n00449517,eng-30-00449517-n,auto racing
n00449517,eng-30-00449517-n,car racing
n00449695,eng-30-00449695-n,boat racing
n00449892,eng-30-00449892-n,camel racing
n00449977,eng-30-00449977-n,greyhound racing
n00450070,eng-30-00450070-n,horse racing
n00450700,eng-30-00450700-n,equestrian sport
n00450866,eng-30-00450866-n,pony-trekking
n00451186,eng-30-00451186-n,cross-country riding
n00451186,eng-30-00451186-n,cross-country jumping
n00452152,eng-30-00452152-n,cockfighting
n00453313,eng-30-00453313-n,deer hunting
n00453313,eng-30-00453313-n,deer hunt
n00453396,eng-30-00453396-n,ducking
n00453396,eng-30-00453396-n,duck hunting
n00453478,eng-30-00453478-n,fox hunting
n00453478,eng-30-00453478-n,foxhunt
n00454395,eng-30-00454395-n,fly-fishing
n00454493,eng-30-00454493-n,troll
n00454493,eng-30-00454493-n,trolling
n00454624,eng-30-00454624-n,casting
n00454624,eng-30-00454624-n,cast
n00454983,eng-30-00454983-n,fly casting
n00455076,eng-30-00455076-n,overcast
