key,wordnet_id,lemma,translation
n00288384,eng-30-00288384-n,piaffe,piaffe
n00324978,eng-30-00324978-n,funambulism,funambulism
n00324978,eng-30-00324978-n,tightrope walking,koorddansen
n00433458,eng-30-00433458-n,contact sport,Contact sport
n00433661,eng-30-00433661-n,outdoor sport,buitensport
n00433661,eng-30-00433661-n,field sport,field sport
n00439826,eng-30-00439826-n,track and field,atletiek
n00440039,eng-30-00440039-n,track,spoor
n00440039,eng-30-00440039-n,running,lopend
n00440218,eng-30-00440218-n,jumping,jumping
n00440382,eng-30-00440382-n,broad jump,brede jump
n00440382,eng-30-00440382-n,long jump,lange sprong
n00440509,eng-30-00440509-n,high jump,hoge sprong
n00441073,eng-30-00441073-n,ski jumping,ski springen
n00441824,eng-30-00441824-n,water sport,watersport
n00441824,eng-30-00441824-n,aquatics,watersport
n00442437,eng-30-00442437-n,bathe,baden
n00442847,eng-30-00442847-n,dip,onderdompeling
n00442847,eng-30-00442847-n,plunge,duiken
n00444937,eng-30-00444937-n,snorkeling,snorkelen
n00444937,eng-30-00444937-n,snorkel diving,snorkel diving
n00445802,eng-30-00445802-n,boxing,boksen
n00445802,eng-30-00445802-n,pugilism,pugilism
n00445802,eng-30-00445802-n,fisticuffs,bokspartij
n00446311,eng-30-00446311-n,professional boxing,professioneel boksen
n00446411,eng-30-00446411-n,in-fighting,in-fighting
n00446493,eng-30-00446493-n,fight,strijd
n00446632,eng-30-00446632-n,rope-a-dope,rope-a-dope
n00446804,eng-30-00446804-n,spar,spar
n00446804,eng-30-00446804-n,sparring,sparring
n00447073,eng-30-00447073-n,sledding,sleeën
n00447221,eng-30-00447221-n,tobogganing,rodelen
n00447463,eng-30-00447463-n,bobsledding,bobsleeën
n00447957,eng-30-00447957-n,Greco-Roman wrestling,Grieks-Romeins worstelen
n00448126,eng-30-00448126-n,professional wrestling,professionele worstelen
n00448466,eng-30-00448466-n,skating,het schaatsen
n00448640,eng-30-00448640-n,ice skating,schaatsen
n00448958,eng-30-00448958-n,roller skating,rolschaatsen
n00449054,eng-30-00449054-n,skateboarding,skateboarden
n00449168,eng-30-00449168-n,speed skating,schaatsen
n00449517,eng-30-00449517-n,auto racing,auto racen
n00449517,eng-30-00449517-n,car racing,autoracen
n00449695,eng-30-00449695-n,boat racing,boot race
n00449892,eng-30-00449892-n,camel racing,kamelenraces
n00449977,eng-30-00449977-n,greyhound racing,hondenraces
n00450070,eng-30-00450070-n,horse racing,paardenracen
n00450700,eng-30-00450700-n,equestrian sport,paardensport
n00450866,eng-30-00450866-n,pony-trekking,pony-trekking
n00451186,eng-30-00451186-n,cross-country riding,cross-country riding
n00451186,eng-30-00451186-n,cross-country jumping,cross-country springen
n00452152,eng-30-00452152-n,cockfighting,hanengevechten
n00453313,eng-30-00453313-n,deer hunting,herten jagen
n00453313,eng-30-00453313-n,deer hunt,hertenjacht
n00453396,eng-30-00453396-n,ducking,ducking
n00453396,eng-30-00453396-n,duck hunting,eendenjacht
n00453478,eng-30-00453478-n,fox hunting,Vos jagen
n00453478,eng-30-00453478-n,foxhunt,vossenjacht
n00454395,eng-30-00454395-n,fly-fishing,vlieg vissen
n00454493,eng-30-00454493-n,troll,trol
n00454493,eng-30-00454493-n,trolling,trollen
n00454624,eng-30-00454624-n,casting,gieten
n00454624,eng-30-00454624-n,cast,gegoten
n00454983,eng-30-00454983-n,fly casting,fly casting
n00455076,eng-30-00455076-n,overcast,bewolking
n00455173,eng-30-00455173-n,surf casting,surf casting
n00455173,eng-30-00455173-n,surf fishing,surf vissen
n00456465,eng-30-00456465-n,day game,dag spel
n00463246,eng-30-00463246-n,athletic game,atletisch spel
n00464277,eng-30-00464277-n,tetherball,tetherball
n00466273,eng-30-00466273-n,professional golf,professionele golf
n00466377,eng-30-00466377-n,round of golf,rondje golf
n00466377,eng-30-00466377-n,round,ronde
n00466524,eng-30-00466524-n,medal play,medal play
n00466524,eng-30-00466524-n,stroke play,strokeplay
n00466630,eng-30-00466630-n,match play,Matchplay
n00466712,eng-30-00466712-n,miniature golf,minigolf
n00470554,eng-30-00470554-n,professional football,profvoetbal
n00470830,eng-30-00470830-n,hurling,hurling
n00474568,eng-30-00474568-n,ball,bal
n00474657,eng-30-00474657-n,professional baseball,professionele honkbal
n00474881,eng-30-00474881-n,perfect game,perfect spel
n00475014,eng-30-00475014-n,no-hit game,no-hit spel
n00475014,eng-30-00475014-n,no-hitter,no-hitter
n00475273,eng-30-00475273-n,two-hitter,twee-hitter
n00475273,eng-30-00475273-n,2-hitter,2-hitter
n00475403,eng-30-00475403-n,three-hitter,drie-hitter
n00475403,eng-30-00475403-n,3-hitter,3-hitter
n00475535,eng-30-00475535-n,four-hitter,vier-hitter
n00475535,eng-30-00475535-n,4-hitter,4-hitter
n00475661,eng-30-00475661-n,five-hitter,vijf-hitter
n00475661,eng-30-00475661-n,5-hitter,5-hitter
n00475787,eng-30-00475787-n,softball,softball
n00475787,eng-30-00475787-n,softball game,softbal spel
n00476235,eng-30-00476235-n,stickball,stickball
n00476235,eng-30-00476235-n,stickball game,stickball spel
n00479076,eng-30-00479076-n,court game,court spel
n00479616,eng-30-00479616-n,racquetball,racquetball
n00480366,eng-30-00480366-n,jai alai,jaialai
n00480366,eng-30-00480366-n,pelota,pelota
n00480508,eng-30-00480508-n,badminton,badminton
n00480885,eng-30-00480885-n,battledore,raket
n00480885,eng-30-00480885-n,battledore and shuttlecock,raket en shuttle
n00481803,eng-30-00481803-n,professional basketball,professionele basketbal
n00483205,eng-30-00483205-n,professional tennis,professionele tennis
n00483409,eng-30-00483409-n,singles,singles
n00483508,eng-30-00483508-n,doubles,dubbelspel
n00483605,eng-30-00483605-n,doubles,dubbelspel
n00483705,eng-30-00483705-n,royal tennis,royal tennis
n00483705,eng-30-00483705-n,real tennis,real tennis
n00483705,eng-30-00483705-n,court tennis,court tennis
n00483848,eng-30-00483848-n,pallone,pallone
n01314663,eng-30-01314663-n,critter,critter
n01314781,eng-30-01314781-n,creepy-crawly,griezelig-crawly
n01315213,eng-30-01315213-n,peeper,bespieder
n01315581,eng-30-01315581-n,poikilotherm,poikilotherm
n01315581,eng-30-01315581-n,ectotherm,ectotherm
n01315805,eng-30-01315805-n,range animal,range dier
n01316579,eng-30-01316579-n,bottom-feeder,bottom-feeder
n01316579,eng-30-01316579-n,bottom-dweller,bodem bewoner
n01316949,eng-30-01316949-n,work animal,werk dier
n01317813,eng-30-01317813-n,feeder,voeder
n01317916,eng-30-01317916-n,feeder,voeder
n01318381,eng-30-01318381-n,head,hoofd
n01319187,eng-30-01319187-n,stunt,stunt
n01321456,eng-30-01321456-n,adult,volwassen
n01321854,eng-30-01321854-n,young mammal,jonge zoogdier
