original	pos	offset	synset_name	lemma
n00004475	n	4475	organism.n.01	organism
n00005787	n	5787	benthos.n.02	benthos
n00006484	n	6484	cell.n.02	cell
n00007846	n	7846	person.n.01	person
n00015388	n	15388	animal.n.01	animal
n00017222	n	17222	plant.n.02	plant
n00021939	n	21939	artifact.n.01	artifact
n00288000	n	288000	dressage.n.01	dressage
n00288384	n	288384	piaffe.n.01	piaffe
n00324978	n	324978	funambulism.n.01	funambulism
n00326094	n	326094	rock_climbing.n.01	rock_climbing
n00433458	n	433458	contact_sport.n.01	contact_sport
n00433661	n	433661	outdoor_sport.n.01	outdoor_sport
n00433802	n	433802	gymnastics.n.01	gymnastics
n00439826	n	439826	track_and_field.n.01	track_and_field
n00440039	n	440039	track.n.11	track
n00440218	n	440218	jumping.n.01	jumping
n00440382	n	440382	broad_jump.n.02	broad_jump
n00440509	n	440509	high_jump.n.02	high_jump
n00440747	n	440747	skiing.n.01	skiing
n00440941	n	440941	cross-country_skiing.n.01	cross-country_skiing
n00441073	n	441073	ski_jumping.n.01	ski_jumping
n00441824	n	441824	water_sport.n.01	water_sport
n00442115	n	442115	swimming.n.01	swimming
n00442437	n	442437	bathe.n.01	bathe
n00442847	n	442847	dip.n.08	dip
n00442981	n	442981	dive.n.02	dive
n00443231	n	443231	floating.n.01	floating
n00444651	n	444651	skin_diving.n.01	skin_diving
n00444846	n	444846	scuba_diving.n.01	scuba_diving
n00444937	n	444937	snorkeling.n.01	snorkeling
n00445055	n	445055	surfing.n.01	surfing
n00445226	n	445226	water-skiing.n.01	water-skiing
n00445351	n	445351	rowing.n.01	rowing
n00445802	n	445802	boxing.n.01	boxing
n00446311	n	446311	professional_boxing.n.01	professional_boxing
n00446411	n	446411	in-fighting.n.02	in-fighting
n00446493	n	446493	fight.n.05	fight
n00446632	n	446632	rope-a-dope.n.01	rope-a-dope
n00446804	n	446804	spar.n.03	spar
n00446980	n	446980	archery.n.01	archery
n00447073	n	447073	sledding.n.01	sledding
n00447221	n	447221	tobogganing.n.01	tobogganing
n00447463	n	447463	bobsledding.n.01	bobsledding
n00447540	n	447540	wrestling.n.02	wrestling
n00447957	n	447957	greco-roman_wrestling.n.01	Greco-Roman_wrestling
n00448126	n	448126	professional_wrestling.n.01	professional_wrestling
n00448232	n	448232	sumo.n.01	sumo
n00448466	n	448466	skating.n.01	skating
n00448640	n	448640	ice_skating.n.01	ice_skating
n00448958	n	448958	roller_skating.n.01	roller_skating
n00449054	n	449054	skateboarding.n.01	skateboarding
n00449168	n	449168	speed_skating.n.01	speed_skating
n00449295	n	449295	racing.n.01	racing
n00449517	n	449517	auto_racing.n.01	auto_racing
n00449695	n	449695	boat_racing.n.01	boat_racing
n00449892	n	449892	camel_racing.n.01	camel_racing
n00449977	n	449977	greyhound_racing.n.01	greyhound_racing
n00450070	n	450070	horse_racing.n.01	horse_racing
n00450335	n	450335	riding.n.01	riding
n00450700	n	450700	equestrian_sport.n.01	equestrian_sport
n00450866	n	450866	pony-trekking.n.01	pony-trekking
n00450998	n	450998	showjumping.n.01	showjumping
n00451186	n	451186	cross-country_riding.n.01	cross-country_riding
n00451370	n	451370	cycling.n.01	cycling
n00451563	n	451563	bicycling.n.01	bicycling
n00451635	n	451635	motorcycling.n.01	motorcycling
n00452034	n	452034	bullfighting.n.01	bullfighting
n00452152	n	452152	cockfighting.n.01	cockfighting
n00452293	n	452293	hunt.n.08	hunt
