key	wordnet_id	synonyms	provenance
n00004475	eng-30-00004475-n	wezen, organismen, organisme	odwn
n00005787	eng-30-00005787-n	benthos, zeebodem	odwn
n00006484	eng-30-00006484-n	cel	odwn
n00007846	eng-30-00007846-n	individu, deze of gene, iemand, figuur, man, mens, persoon	odwn
n00015388	eng-30-00015388-n	wezen, schepsel, creatuur, beest, dier, gedierte	odwn
n00017222	eng-30-00017222-n	gewas, vegetatie, plantenleven	odwn
n00021939	eng-30-00021939-n	mensenwerk, artefact	odwn
n00288000	eng-30-00288000-n	dressuur, dressuursport	odwn
n00288384	eng-30-00288384-n	piaffe	google_translate
n00324978	eng-30-00324978-n	funambulism, koorddansen	google_translate
n00326094	eng-30-00326094-n	rotsklimmen	odwn
n00433458	eng-30-00433458-n	Contact sport	google_translate
n00433661	eng-30-00433661-n	buitensport, field sport	google_translate
n00433802	eng-30-00433802-n	gym, gymnastiek	odwn
n00439826	eng-30-00439826-n	atletiek	google_translate
n00440039	eng-30-00440039-n	spoor, lopend	google_translate
n00440218	eng-30-00440218-n	jumping	google_translate
n00440382	eng-30-00440382-n	brede jump, lange sprong	google_translate
n00440509	eng-30-00440509-n	hoge sprong	google_translate
n00440747	eng-30-00440747-n	skieën	odwn
n00440941	eng-30-00440941-n	langlaufen	odwn
n00441073	eng-30-00441073-n	ski springen	google_translate
n00441824	eng-30-00441824-n	watersport, watersport	google_translate
n00442115	eng-30-00442115-n	zwemmen	odwn
n00442437	eng-30-00442437-n	baden	google_translate
n00442847	eng-30-00442847-n	onderdompeling, duiken	google_translate
n00442981	eng-30-00442981-n	onderwaterzwemmen, duiken, duik, duiksport, duiksprong, onderwatersport	odwn
n00443231	eng-30-00443231-n	het zwemmen	odwn
n00444651	eng-30-00444651-n	onderwatersport	odwn
n00444846	eng-30-00444846-n	duiksport	odwn
n00444937	eng-30-00444937-n	snorkelen, snorkel diving	google_translate
n00445055	eng-30-00445055-n	surf-riding, surfriding	odwn
n00445226	eng-30-00445226-n	waterskiën	odwn
n00445351	eng-30-00445351-n	haal, roeisport	odwn
n00445802	eng-30-00445802-n	boksen, pugilism, bokspartij	google_translate
n00446311	eng-30-00446311-n	professioneel boksen	google_translate
n00446411	eng-30-00446411-n	in-fighting	google_translate
n00446493	eng-30-00446493-n	strijd	google_translate
n00446632	eng-30-00446632-n	rope-a-dope	google_translate
n00446804	eng-30-00446804-n	spar, sparring	google_translate
n00446980	eng-30-00446980-n	boogschieten, schuttersgilde	odwn
n00447073	eng-30-00447073-n	sleeën	google_translate
n00447221	eng-30-00447221-n	rodelen	google_translate
n00447463	eng-30-00447463-n	bobsleeën	google_translate
n00447540	eng-30-00447540-n	worstelen, takelage	odwn
n00447957	eng-30-00447957-n	Grieks-Romeins worstelen	google_translate
n00448126	eng-30-00448126-n	professionele worstelen	google_translate
n00448232	eng-30-00448232-n	sumoworstelen, sumo	odwn
n00448466	eng-30-00448466-n	het schaatsen	google_translate
n00448640	eng-30-00448640-n	schaatsen	google_translate
n00448958	eng-30-00448958-n	rolschaatsen	google_translate
n00449054	eng-30-00449054-n	skateboarden	google_translate
n00449168	eng-30-00449168-n	schaatsen	google_translate
n00449295	eng-30-00449295-n	koers, rensport	odwn
n00449517	eng-30-00449517-n	auto racen, autoracen	google_translate
n00449695	eng-30-00449695-n	boot race	google_translate
n00449892	eng-30-00449892-n	kamelenraces	google_translate
n00449977	eng-30-00449977-n	hondenraces	google_translate
n00450070	eng-30-00450070-n	paardenracen	google_translate
n00450335	eng-30-00450335-n	rijkunst, paardrijden, paardensport, paardesport, ruitersport	odwn
n00450700	eng-30-00450700-n	paardensport	google_translate
n00450866	eng-30-00450866-n	pony-trekking	google_translate
n00450998	eng-30-00450998-n	concours hippique, springconcours	odwn
n00451186	eng-30-00451186-n	cross-country riding, cross-country springen	google_translate
n00451370	eng-30-00451370-n	wielrennen	odwn
n00451563	eng-30-00451563-n	wielersport, wielrennerij	odwn
n00451635	eng-30-00451635-n	motorsport	odwn
n00452034	eng-30-00452034-n	stierenvechten	odwn
n00452152	eng-30-00452152-n	hanengevechten	google_translate
n00452293	eng-30-00452293-n	jacht, jachtpartij, weidspel, weispel	odwn
